ExposureType,MaterialType,Time,SampleNo,Silane,YI,L,a,b,Haze,WaterCA,DiiodoCA,SFEtot,SFEpolar,SFEdisp,edge,center,center.1,center.2,edge.1,edge.2,edge.3,DepNo
Cyclic,AZO,665,sa18818,No,6.51,,,,1,9.1,,83.8,36.3,47.5,12.241,12.318,12.282,12.468,12.93,12.368,12.649,
Cyclic,AZO,665,sa18818,No,,,,,,8.3,,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18818,No,,,,,,10.9,,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18818,No,,,,,,10.4,,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18818,No,,,,,,10.6,,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,0,sa18819,No,5.11,,,,0.6,,,,,,8.108,7.999,7.999,8.017,8.103,8.144,8.126,
Cyclic,AZO,665,sa18819,No,6.82,,,,1.2,9.5,,83.8,36.3,47.5,8.955,9.331,9.304,9.558,9.576,9.282,9.327,
Cyclic,AZO,665,sa18819,No,,,,,,7.5,,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18819,No,,,,,,11.1,,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18819,No,,,,,,,25.9,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18819,No,,,,,,,13.1,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18819,No,,,,,,,27.6,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,0,sa18820,No,4.98,,,,0.7,,,,,,9.164,9.041,9.069,9.087,9.146,9.245,9.227,
Cyclic,AZO,665,sa18820,No,6.41,,,,0.9,,14.9,83.8,36.3,47.5,9.879,10.649,10.607,10.824,11.283,10.801,10.729,
Cyclic,AZO,665,sa18820,No,,,,,,,13.6,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18820,No,,,,,,,25.1,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18820,No,,,,,,,18.2,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,665,sa18820,No,,,,,,,23.9,83.8,36.3,47.5,,,,,,,,
Cyclic,AZO,0,sa18821,No,5.28,,,,0.8,,,,,,9.322,9.241,9.232,9.232,9.322,9.336,9.413,
Cyclic,AZO,837,sa18821,No,6.55,,,,2.5,8.7,,84,35.9,48,10.08,10.951,11.146,10.769,11.898,11.341,10.862,
Cyclic,AZO,837,sa18821,No,,,,,,10.5,,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18821,No,,,,,,12,,84,35.9,48,,,,,,,,
